epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.898,2.21935,3.22899,1.24589,0.00472,0.53538,0.04299,0.01222,2.25299,3.92536,1.27158,0.000656566,0.000656566,0.000656566
2,744.799,2.19657,2.11215,1.25446,0.43502,0.46462,0.3487,0.10838,2.21351,2.3536,1.26062,0.00125773,0.00125773,0.00125773
3,1117.92,2.17236,1.74585,1.25321,0.60089,0.46769,0.49329,0.18536,2.12858,2.15085,1.24829,0.0017929,0.0017929,0.0017929
4,1488.11,2.15494,1.48564,1.25358,0.67361,0.57231,0.51787,0.17245,2.14205,1.52556,1.21077,0.001703,0.001703,0.001703
5,1861.78,2.0865,1.33286,1.23912,0.62129,0.56,0.5522,0.19621,2.17094,1.65376,1.24074,0.001604,0.001604,0.001604
6,2245.54,2.07926,1.27179,1.24004,0.69552,0.59385,0.56407,0.21164,2.06669,1.39407,1.18633,0.001505,0.001505,0.001505
7,2619.19,2.05107,1.23218,1.21969,0.69773,0.5611,0.59098,0.23761,2.02666,1.4934,1.17203,0.001406,0.001406,0.001406
8,3009.15,2.10346,1.18509,1.22141,0.71683,0.60308,0.64384,0.23756,2.12843,1.14755,1.20944,0.001307,0.001307,0.001307
9,3379.38,2.01673,1.11546,1.18664,0.76008,0.64334,0.64179,0.25808,2.04321,1.10328,1.18266,0.001208,0.001208,0.001208
10,3749.01,1.97589,1.06955,1.19046,0.71777,0.61039,0.63612,0.2491,2.01766,1.09213,1.18126,0.001109,0.001109,0.001109
11,4138.08,2.00312,1.11955,1.23462,0.73788,0.59077,0.5905,0.20206,2.16506,1.18321,1.21893,0.00101,0.00101,0.00101
12,4540.46,1.98903,1.06579,1.21588,0.72095,0.67385,0.67109,0.28088,1.98452,1.03815,1.15997,0.000911,0.000911,0.000911
13,4905.08,1.98144,1.05519,1.21796,0.73296,0.64615,0.61821,0.2283,2.0672,1.13221,1.18011,0.000812,0.000812,0.000812
14,5288.44,1.94044,1.0406,1.20865,0.75143,0.68923,0.71391,0.29558,1.99644,0.98946,1.13873,0.000713,0.000713,0.000713
15,5668.76,1.90731,1.01802,1.18086,0.79233,0.61846,0.69064,0.26746,2.03289,1.04681,1.1642,0.000614,0.000614,0.000614
16,6034.27,1.88907,0.98009,1.18181,0.77339,0.64615,0.70908,0.28961,1.94587,0.97437,1.13768,0.000515,0.000515,0.000515
17,6403.35,1.88046,0.96472,1.17005,0.78465,0.67267,0.71156,0.28402,1.99948,0.98619,1.16397,0.000416,0.000416,0.000416
18,6768.54,1.86005,0.94869,1.15099,0.74538,0.66462,0.69406,0.29296,1.95917,0.97651,1.13059,0.000317,0.000317,0.000317
19,7131.81,1.84098,0.93618,1.16481,0.76798,0.66154,0.68951,0.28543,1.96176,0.96338,1.13468,0.000218,0.000218,0.000218
20,7495.15,1.84418,0.91438,1.14105,0.74917,0.66154,0.70603,0.30057,1.9627,0.93026,1.14665,0.000119,0.000119,0.000119
